DIA_SEMANA,ANIO_Y__MES_EVENTO,SEMANA_ANIO,DIA_EVENTO
Domingo,200209,39,29
Viernes,200712,51,21
Viernes,200710,41,12
Martes,200411,48,23
Domingo,201105,20,22
Miercoles,200609,37,13
Domingo,200807,30,27
Lunes,201102,6,7
Sabado,200207,30,27
Martes,200803,12,18
Miercoles,201005,21,26
Domingo,200304,14,6
Domingo,200806,22,1
Viernes,200412,49,3
Sabado,201101,3,22
Sabado,200503,9,5
Lunes,200305,22,26
Jueves,200404,17,22
Miercoles,200405,21,19
Martes,200210,43,22
Sabado,200612,52,30
Lunes,200309,40,29
Sabado,201112,49,10
Domingo,200804,15,13
Sabado,200306,25,21
Sabado,200601,3,21
Sabado,200605,21,27
Jueves,201103,12,24
Sabado,201307,30,27
Viernes,200711,47,23
Domingo,200604,14,9
Viernes,200407,28,9
Martes,200410,43,19
Jueves,200707,30,26
Miercoles,200910,43,21
Sabado,200706,24,16
Sabado,200305,20,17
Lunes,200310,42,13
Domingo,200707,28,15
Jueves,200605,21,25
Domingo,200507,29,24
Lunes,200502,9,28
Martes,200603,13,28
Domingo,200606,22,4
Lunes,200806,26,23
Martes,200504,17,26
Sabado,200212,49,7
Sabado,200401,2,10
Martes,200902,8,17
Lunes,200304,18,28
Martes,201310,40,1
Sabado,200508,31,6
Domingo,200802,7,17
Sabado,201106,22,4
Lunes,200211,47,18
Domingo,201104,14,10
Martes,201102,7,15
Viernes,200609,39,29
Jueves,200705,21,24
Sabado,201204,17,28
Miercoles,200402,6,4
Domingo,200810,43,26
Sabado,200708,34,25
Jueves,201108,34,25
Lunes,200405,22,24
Martes,200712,52,25
Domingo,201103,11,20
Martes,201007,27,6
Sabado,200207,28,13
Domingo,200607,27,9
Domingo,200405,20,16
Miercoles,201109,39,28
Jueves,201211,46,15
Sabado,200902,8,21
Domingo,201311,46,17
Miercoles,201002,5,3
Sabado,200904,16,18
Martes,200902,8,17
Domingo,200811,46,16
Martes,201312,52,24
Lunes,200812,50,8
Lunes,201312,1,30
Domingo,200704,16,22
Sabado,201111,46,19
Jueves,200601,3,19
Sabado,200606,23,10
Martes,201105,22,31
Domingo,200512,51,25
Miercoles,201107,30,27
Viernes,200311,46,14
Sabado,200812,52,27
Lunes,200905,20,11
Domingo,200501,3,23
Jueves,200701,4,25
Jueves,200307,31,31
Martes,200401,2,6
Domingo,200610,42,22
Sabado,201209,36,8
Sabado,200406,23,5
Viernes,200903,13,27
Jueves,201007,26,1
Martes,201302,9,26
Sabado,200406,23,5
Lunes,200507,30,25
Sabado,201112,50,17
Jueves,201201,2,12
Sabado,200512,50,17
Lunes,201011,47,22
Lunes,200607,28,10
Viernes,200401,4,23
Miercoles,200909,36,2
Viernes,201208,31,3
Jueves,200401,1,1
Lunes,200912,51,14
Domingo,200711,46,18
Viernes,200910,41,9
Martes,201212,50,11
Sabado,201006,24,19
Jueves,201103,11,17
Viernes,200910,44,30
Domingo,200704,15,15
Jueves,200911,46,12
Miercoles,200411,46,10
Sabado,201307,30,27
Sabado,201008,32,14
Domingo,200705,20,20
Martes,200805,20,13
Sabado,200405,20,15
Martes,200309,38,16
Viernes,200310,40,3
Martes,200207,30,23
Martes,200902,8,17
Jueves,200612,50,14
Viernes,200603,11,17
Viernes,201105,21,27
Lunes,200705,19,7
Domingo,201312,49,8
Viernes,201107,26,1
Sabado,200602,5,4
Martes,201112,50,13
Sabado,200403,10,6
Martes,200804,16,15
Jueves,200607,29,20
Domingo,200709,35,2
Sabado,200603,11,18
Viernes,200802,5,1
Domingo,201109,35,4
Lunes,200710,40,1
Jueves,201112,48,1
Viernes,200512,48,2
Miercoles,200605,22,31
Domingo,200707,28,15
Sabado,200502,5,5
Viernes,200303,13,28
Lunes,201108,31,1
Lunes,200701,2,8
Viernes,200711,48,30
Jueves,200402,8,19
Viernes,200911,48,27
Jueves,200710,41,11
Miercoles,200710,41,10
Jueves,200710,40,4
Miercoles,200609,36,6
Jueves,200405,19,6
Jueves,201104,14,7
Miercoles,200608,34,23
Viernes,201211,46,16
Domingo,200505,20,22
Miercoles,200207,29,17
Jueves,200305,18,1
Viernes,200207,27,5
Lunes,200602,9,27
Domingo,201111,47,27
Jueves,200904,15,9
Martes,200312,52,23
Lunes,200305,22,26
Sabado,200208,31,3
Sabado,201311,47,23
Lunes,201109,36,5
Viernes,201103,10,11
Sabado,200807,30,26
Domingo,200805,19,11
Viernes,200803,11,14
Martes,201111,47,22
Sabado,200606,22,3
Domingo,200808,35,31
Miercoles,200601,4,25
Martes,200303,11,11
Miercoles,200602,8,22
Sabado,201101,52,1
Lunes,201010,43,25
Miercoles,200209,36,4
Sabado,201305,20,18
Sabado,201209,37,15
Domingo,200601,2,15
Miercoles,200812,1,31
Miercoles,200507,29,20
Miercoles,200507,27,6
Martes,200612,50,12
Domingo,200506,23,12
Lunes,200609,37,11
Lunes,200609,37,11
Lunes,200609,37,11
Viernes,200908,34,21
Domingo,201201,52,1
Domingo,200706,24,17
Domingo,201201,52,1
Domingo,201201,52,1
Miercoles,201201,1,4
Sabado,200708,31,4
Miercoles,200603,13,29
Domingo,201201,2,15
Lunes,201201,5,30
Miercoles,201202,5,1
Martes,201202,8,21
